"rank","num_frames","prop_frames"
1,1782170,0.175246570627858
2,1572580,0.154636904469246
3,1264509,0.124343281380599
4,1086516,0.106840650966124
5,883742,0.0869012242489798
6,693244,0.0681689365258862
7,542057,0.053302227248144
8,467426,0.0459635183637347
9,413227,0.0406339544717046
10,336691,0.0331079207433994
11,269049,0.0264564629529475
12,188654,0.0185509612075323
13,126619,0.0124508579576184
14,112427,0.0110553124539063
15,100435,0.00987610010324991
16,77768,0.00764718029401642
17,70262,0.00690909090909091
18,57015,0.00560647032794139
19,32055,0.00315207237327302
20,30845,0.00303308913909238
21,29296,0.00288077093269089
22,26936,0.00264870445941295
23,3355,0.000329908058409951
24,2622,0.000257829785141846
