avg_degree,proportion_connected_nodes,avg_connectivity,dataset_agg,category
11.968,0.88,6.917265578760463,nonLumpy,javasparrow
12.792,0.916,8.187299498231472,lumpy,javasparrow
12.752,0.828,7.916885849552867,nonLumpy,cat
8.632,0.804,5.816759892272633,lumpy,cat
12.488,0.7,8.330023241073315,nonLumpy,pig
6.016,0.564,5.278017241379311,lumpy,pig
11.512,0.684,7.766141857506361,nonLumpy,chimp
12.68,0.808,8.289932200918567,lumpy,chimp
12.56,0.804,8.26759585602905,nonLumpy,dog
11.072,0.824,7.19624827020655,lumpy,dog
12.616,0.76,7.65698675693331,nonLumpy,ferret
7.664,0.768,5.357520786092215,lumpy,ferret
